uname,sex,message,like,uid,location,emotion,sentiment_score
-棂元-,男,我已经在脑海里和你过完了一辈子。,23652,317704837,未知,非常积极,0.99 
买不起破站的房,男,复制一段我超喜欢的影评。我觉得这部电影最可取的是，描述的是两个精神独立个体的爱情，没有谁要去迎合谁，不以奉献和妥协为中心，不会为了融为一体而失去自己，爱情理所应当是陪伴和理解。,37661,32103630,未知,非常积极,1.00 
叫什么随意啦,保密,"在网易云lalaland原声的评论里，有个热评写：
Its about love
Its about dream
Its about the dream we love
Its about the love I dream
完全就是我看了这片子的感觉，完美概括。看了想哭
（不知道这几句是那位评论原创还是另有来源，不是我写的不是我写的不是我写的！如果原作者看到认为不合适我就删了这层）",12023,2930337,未知,非常消极,0.05 
Leefa莉法,女,welcome to Sebs,7429,27910184,未知,中性,0.50 
碎月之海,保密,这部片最神的剧情，也是最让人无法释怀的是，他俩分手不是因为身份格差父母反对误会第三者插足性格不合这些常见的理由，而是因为彼此都要追梦。,8224,3011231,未知,非常积极,0.97 
惬意竹,保密,当年艾玛斯通拿了奥斯卡最佳女主角，一步步走上领奖台，光彩照人，安德鲁加菲尔德就站在台下，不停地鼓掌，为她欢呼。看网上的新闻，说是爱乐之城的剧本，最初是加菲推荐给艾玛的。犹记得蜘蛛侠时期他们的你侬我侬，如今青春时光里曲终人散，各自开始了新的篇章，他注视着她封后的那一幕真的太像电影了，戏里戏外都是诗,6942,36992320,未知,非常积极,1.00 
蜜橙皮,女,"刚开始有个女性，估计是男主家人，在劝男主找稳定工作时，男主根本听不进去。
但他听到女主打电话给家里，女主的家人觉得他不可靠，女主还在为生计而奔波，他看看发霉的屋顶，他能带给女主的只有这些，所以他去签了那个乐队，因为他想给女主更好的生活。
男主一直在忙乐队的事，女主也在追逐自己的梦想，她看到舞台男主在表演爵士乐的时候，她为他开心，因为他实现了梦想，可舞台灯光亮起，她发现男主并不在梦想的道路上，这时她是有些失落的。
在演出到吵架这段时间，女主一直觉得男主是在赚钱养梦，就像女主的咖啡店服务员工作一样，可她没想到男主在这个赚钱养梦的兼职上花费了太多时间，多到完全远离梦想了。而女主为了离梦想更近，甚至辞掉咖啡店的工作。
女主和男主的灵魂契合就契合在梦想上，女主被在酒馆即使冒着被开除风险也要弹自己喜欢的音乐的男主所吸引，他们两个是同类，是与别人格格不入的同类，他们固执追逐着自己的梦想，坚持着，不与现实妥协，这也是他们吸引彼此的地方。所以在男主穷困潦倒时，女主与家人的电话中都一直为他辩解。而她看到与现实妥协，去演奏自己不喜欢音乐的男主时，她很失望，所以她点了出来。这恰好戳中了男主的伤口，男主也不愿意这样，不愿意妥协，可他签了合同没办法，女主此时的话就是男主的心声，他一直忍受着，一直去逃避，却被女主赤裸裸揭开了，所以男主这时恼羞成怒了，他开始责怪女主，因为她，他才想赚钱，要稳定工作，放弃梦想，一切都是因为爱她，顺便讽刺了一下正在追求演员梦的女主（他们是同类，所以男主实际上是在讽刺过去的自己，因为他此时无法改变现状，只能自我欺骗这样很好啊，来缓解他现在的焦虑）。梦想正是女主的软肋，她受不了，所以离开，她本以为男主是最能理解她的人，但是此时的男主背离了梦想，还拿女主最重要的梦想讽刺她。
女主演出并不顺利，男主也错过了演出，错过了最佳道歉时机，让一切无法挽回。
男主接电话，听到女主面试消息决定去找女主那一段我很感动，即使我们不再是恋人，我们也依旧是灵魂伴侣，我永远为你的梦想加油。
面试后，两人实际处于一个冷静阶段了，两人将来可能异地，男主忙着乐队的事连和女主见面都估计办不到，女主也要继续追梦，无暇顾及男主，分开是最好的决定。
最后在男主的琴声中他们幻想着如果没那么多遗憾。。。最后那一眼真的太有戏了！！",4840,1464824,未知,非常积极,1.00 
杰桀杰桀杰桀杰桀,保密,"这才是我最喜欢的爱情观2233娘喝水
而不是现在国内言情大肆宣扬的为爱自残小电视发愁",4703,52648578,未知,非常积极,1.00 
方方今年要下百,女,当年上映的时候，我舍友哭得稀里哗啦，我就只有一点点淡淡的难过和遗憾，她一边抹眼泪一边说，等你谈了恋爱你就懂了。转眼四年过去，我还是没懂，可恶啊辣眼睛辣眼睛辣眼睛,4049,5221563,未知,非常积极,1.00 
Leah-hu,保密,很多年轻情侣不愿意承认，他们在意关系，多过在意爱本身。因为你是我女朋友，所以我对你好，有一天你不是了，我便收起对你的好。脆弱的关系玷污了爱，也误导了人们，所有人都觉得爱越来越浅薄了。而真正的爱是有延续性的，它不会因关系终止而渺无音信。 have been doing,8514,305661775,未知,非常积极,1.00 
妄见-,女,从这儿开始哭到结尾大哭,2533,200953234,陕西,非常积极,0.96 
我和银老板贴贴,男,啊？我都买好票，准备明天去影院看了哦呼,62,340993268,四川,积极,0.62 
啷啷个哩哩个啷啷,女,此情可待成追忆 只是当时已惘然。,40,430105591,广东,积极,0.66 
hcloewex,女,我已经受够了给我们爱看歌舞的一点空间好吗？能不能别吐槽了？能不能？我看迪士尼，看爱乐之城，就连音乐之声也逃不过那句一言不合就唱歌是印度片吗。求求了，歌 舞 片 这 是 歌 舞 片 ！！！！！！ 不爱看就出去好吗！,7612,27895888,未知,非常积极,0.92 
三小米,女,seb真的一直很支持mia大哭特别是最后那一个点头，仿佛仍然在告诉她你很棒，很好，现在梦想实现，结婚过着幸福的日子是很正确的抉择，即使你的身边不是我，当正如我当初许下的那个诺言一样，我一直爱你。,2017,26872207,未知,非常积极,1.00 
dgvghj,保密,"影评：
1 最动人的几个地方，一个是女主角讲述她姑妈的时候，眼泪一下就流出来了。另外，就是她实现了理想，优雅地去点咖啡时，眼泪完全止不住。
2 女主角说她不喜欢jazz，所以她一开始，其实是被男主角弹琴时的passion所打动，她完全被震住了，像遇到另一个追求理想充满热情的自己。所以当男主角说，你一开始只是因为我可怜，你想在我身上找到安慰时，女主角很伤心。那种伤心，属于：我以为我们是灵魂伴侣，因为同样的passion而相互理解支持，没想到你却是这样想的。
3 一开始并不喜欢男主角，觉得他性格太固执理想主义，很难相处。但是看到后来他驱车十几个小时一直到深夜，去女主角家门口，帮助她实现梦想，真的很感动。
4 关于男主角的遗憾：他其实并不需要从一开始就吻上她，只用在她问Where are we时，坚定地想和她在一起，而不是wait and see，顺其自然。可是，或许我是站着说话不腰疼，男主角此刻已经和乐队签了合同（我并不清楚在美国违约会不会很严重），何况他还有队友，他的工作也才刚刚迈入正轨。耕耘几年后，他才可以凭他自己，去开他理想中的爵士酒吧。比起跟着女主角去巴黎，当下确定的看得见的未来，才更让人踏实。
5 这是一个很好的故事。人生不可重来。好的爱情在于灵魂吸引，也在于相互成就。",2875,14255924,未知,非常积极,1.00 
云丛的希思莉亚,男,这部影片曾获得了五分钟2017年奥斯卡最佳影片！,1749,2916263,未知,非常积极,0.86 
明川先森,保密,"好喜欢结局啊两个人都实现了自己的梦想，都过上了幸福的人生，而且他们都没有忘记属于两人的那段时光，没有诋毁，没有逃避，而是让它深藏心底，融于灵魂。大明星女主看向男主，俱乐部老板男主对她点头示意，让多年后再次触动的记忆又归于平静。
他们为对方做的是鼓舞，是了解，是赞美，没有改变，没有妥协，没有牺牲。他们因追梦的模样而闪烁，而吸引对方，又因为触手可及的梦想而在美景下分开，奔向远方。
太美了",1859,37883316,湖南,非常积极,1.00 
sai的指尖,男,至今难以释怀那届奥斯卡的乌龙呆,1332,21382448,未知,积极,0.68 
贫穷挖矿工,保密,我舅妈曾在巴黎住过一段时间，记得她每次来我家就会给我们讲，异乡生活中有趣的故事，我记得有一次 她告诉我们 她曾调经大胆跳进过冬天的河水，赤着脚，丝毫不露怯色，纵身一跃，一头扎进塞纳河，河水太冰冷，她打了接下来一个月的喷嚏，但她说 要重来她还会再跳一次。,2220,93733770,未知,非常积极,1.00 
正宗小肥猪_,保密,感谢b站，爱乐之城这部影片陪伴我我度过了17年最难熬的时光，家庭，爱情，寒冬但愿人生值得，未来可期。,534,13418461,未知,非常积极,1.00 
再揭起有害吗,女,B站今晚给我推了这部电影，让我想起了几年前有两个男生约过我这部电影，第一个男生看了一半居然睡着了，我看得泪流满面他看完说电影太无聊。第二个男生看完了这部电影，回去之后我和他网易云音乐的最近播放全是这部电影的插曲，最后他成了我男朋友。,2688,93698984,未知,非常积极,1.00 
椿泽丶,女,男主真的是很恋旧的人啊，从音乐风格到喜欢的人，最感触的还是他在被要求随便弹点什么的时候，第一反应还是弹了自己喜欢的jazz，即使选择了另一条路，愣神的片刻我还是会想到你,423,506211733,广东,非常积极,0.96 
落语゜,女,"天呐居然买了这个。 当年和我一个艺术生朋友去看的，不是什么爆米花电影，也没有爆笑的桥段，当时纯属陪基友去凑人数的。
结果，他喵的，看哭了。
也不知道是我泪点低还是被共鸣了，电影最后男主那段幻想和女主有一个完整的家，每天幸福美好生活的片段，我直接哗啦啦掉眼泪。
基友在旁边，我马上掏纸擦擦擦，也怕被问起来怎么就哭了。
过了这么久了，也不知道我全心全意喜欢的那个男生现在怎么样了。",1347,8091855,未知,非常积极,1.00 
Elsa_Ana,保密,"石头姐和高司令片子里最爱的一部
至今仍能张口就来city  of  star
虽然豆瓣反响一般
但对我真的意义非凡
是我沉寂时提供动力的一部影片",717,300231126,未知,非常积极,1.00 
红色葫芦娃S,男,"""你喜欢什么电影？""
""拉拉链。""
""哦，真的，我也是诶。""",871,252601843,未知,积极,0.71 
阳二十七,男,"第一个冬   代表孤独  独自一人   没人理解欣赏   冷寂  
   春    万物复苏   喜悦  碰到了一个真实的人   感受到了温暖   两个孤独的人被彼此吸引  爱情的种子已经发芽   
   夏     火热青春    爱的炽烈    热恋     感觉到我的爱人是正确的爱人     拥有对方我才完整
   秋      火焰烧尽后的现实     理想现实的冲突    现实与陪伴     忙碌与挂念     毕竟爱真的不能发电
 第二个冬    现实的冲突     理想的冲突   不能陪伴的爱人     巧合的误会      导致，，，，唉",392,20041061,未知,非常积极,1.00 
偷吃厨子,保密,为什么这么多人觉得再来一次男女主就会选择为了爱情放弃梦想？片中不是早就有答案了么？改变了自己风格的男主让女主觉得陌生迷茫，而女主放弃自己的梦想时男主也无法接受。他们爱的是那个共同幻想共同追梦的对方，无论男女主哪一方放弃梦想都是另一个人不能接受的,1037,384242918,广东,非常积极,1.00 
飘扬的自由之翼,保密,男女主都因为彼此变成了更好的人，实现了自己的梦想，这不是HE吗？为什么一定要以爱情的结局来判断呢？,331,565848763,湖北,非常积极,1.00 
J0ker137,男,"它并不是一部悲剧，你看完它，感受到的不是悲伤，而是遗憾
正是遗憾，让这个爱情故事更完美
两人都有自己的梦想，就像另一个结局一样，只要他们中的一个人放弃梦想，成全对方，他们就能在一起
但是，他们都选择的坚守和追逐自己的梦想，并尊重对方的梦想，没有向彼此妥协，没有像生活妥协
虽然终有遗憾，但这就是我心中最完美的结局。
我会一直爱着你，即使我们不能在一起。",1184,53002151,未知,非常积极,1.00 
来自兔星的亿万富翁,保密,很多人说这电影很现实很残酷，但其实这已经是美化过后的现实了。多少演员梦的女生真的能成为巨星，多少音乐梦的男生最后能拥有自己梦想中的音乐团队起码这电影里两人彼此安好事业有成，放在真正的现实里，很有可能就是两人分手但彼此梦想又没有得到实现。刷不能接受弹幕的，这其实已经是现实中非常不错的结局了啊,302,399687654,未知,非常积极,1.00 
牛胸肉揉不动,保密,这部电影 我第一次看的时候觉得是烂片 除了配乐其他一无是处 但是等我谈完一次刻骨铭心的恋爱后 我才意识到这是一部多么优秀的片子没有相关阅历和年龄 真的是感觉不到这个片子的精髓,1280,427445629,未知,非常积极,1.00 
努力の耗栀,保密,作为一个影迷来说，这部电影确实是很棒！整体节奏，包括春夏秋冬四季的恋爱变化体现的很到位，最终完美的恋爱，在两人想象中呈现，在最终女主当上了明星，回归了现实的残酷，类似于《马戏之王》《悲惨世界》《歌舞青春》这些优秀去音乐剧总之是很不错的！,284,30016501,未知,非常积极,1.00 
神奇锅巴,男,"看见不少弹幕说女主渣什么的，我想说其实并不是，当人生中爱过的人不止一个时就难免会面对这样的现实，而人生难免要爱复数的人。
爱情和学时的青涩不一样，不是什么样的感情都是爱情。爱是给予索取占有奉献，爱是狂热的不可割舍的痛。陈粒在《绝对占有相对自由》中有唱到想现在死去，时光记住我此刻坚决和笃定，爱一个人是深怕下一秒自己的感情衰退的无端惶恐，是想撕裂对方融入身体又想牺牲自己成全对方的矛盾。海明威也曾对海德利说过类似的话，我多么希望我在爱你时就死去。你无法与这些文字感同身受，那么你就无法理解故事中男女主的爱情。
但《金句集锦摄影集》中又说喜欢就会放肆，但爱是克制。爱情很纯粹，梦想也是，但生活很复杂。音乐和当下不切实际的演员梦，轻易就能击碎他们的生活，没钱真的什么都不是。哪怕是爱情，也需要钱。所以男主开始步入俗尘，而这样的妥协增生了怒火，击碎了梦想。当你一无所有爱一个人，为了生活而不得不放弃梦想的时候，你还是原本的你吗？你熠熠生辉的梦想，你的闪光全因为这样的妥协而暗淡了，你便不是你了。当为了爱情妥协自身的时候，爱情就已经变质了。是在爱情中失去原本的闪闪发光的彼此，还是在梦想中失去爱情？故事选择了后者。
故事无法呈现给观众如泥潭一般失去活性的婚姻，它要的是给我们一场凄美的梦境。如果剧本写出一个所谓的happy ending，男女主实现了梦想也守护了爱情，看似美好，实则遗憾，因为我们的理性始终在暗示我们这样的情节并不真实，无法实现，这样的情节无法引起我们的共鸣，而观众无法感同身受的电影就不是一部好电影。这部电影想要探讨的是爱情梦想自我的取舍和统一，生活没有十全十美，电影想告诉你这个故事就是生活，这就是大部分人所要经历的一生，它不想去许诺你往后美好但虚假的前景。它告诉你，生活就是这样了，爱情就是这样了，但这样对于我们已经足够，也已经无法再奢求更多，我们失去彼此，但我们也成为了更好的自己。
往后不管会不会再遇见你，我都爱你，就像我爱现在的生活，爱当下的人，我们的故事到这里就够了。
或许看不懂的人十年后再看这部电影心境也会大不相同，想起中国有句老话，初闻不识曲中意，再听已是曲中人。
等你看懂了，你也便困于此处了。",1461,11159041,未知,非常积极,1.00 
kirakira理想贡多拉,保密,"其实可能是因为我的思想没有任何深度，我也不知道是什么支撑着我看完了这个我觉得一点也不好看甚至有些乏味的电影，在看完其他人的影评时，对于人物角色塑造，音乐场景的转换有的觉得很有趣，但是我还是不怎么感兴趣，只是在某一天从网易云的每日推荐里又一次听到了《City of stars》，我的心就像是承受不住了，突然就觉得很酸涩，苦闷的心情，啊，所以那一刻我就觉得这是个后劲很大的电影，大到我想要推荐给别人，虽然我连好的推荐理由也说不出，只是希望有人能理解
这是我自我满足的评论，不要在意。",361,25735596,未知,非常积极,1.00 
蛀牙不能吃糖,女,原以为是一个讲述爱情的故事，其实是一个讲述梦想的故事,773,15042718,未知,非常积极,1.00 
o慕斯喵o,保密,我来自县城，她来自城市，我们在高中邂逅，我们互相鼓励，互相支持，一起成长，浑浑噩噩的我们开始有了自己的目标，她想当律师，我想给她安定的未来。现实却又是残酷的，成绩不好的她，即便努力复读了一年，也没能和我考上同一所大学，两张通知书将我们分到了中国的北边和南边，本因为疫情封路很难相聚的我们又要忍受更难相聚的现实。终于有一天她坚持不住了，向我提出了分手，我是很爱她，但我也知道，与其死缠烂打乞求她留下，不如体面地放手。曾经的我们人格独立，心理上却互相依赖，曾经的我们一起策划属于我们的美好未来我想开一个清酒吧，每天放自己爱听的音乐我以后要在家里养一大群猫猫和狗狗分手后的我一直沉浸在过去难以释怀，又变得浑浑噩噩。分手的第115天，我有幸欣赏到了《爱乐之城》，看到结尾，突然想到了她对我说过的最后一句话：晚安，在人生更高处相遇，我释然了，我找回失去的方向了。谢谢大家，我的故事讲完了，这是我的《爱乐之城》。,292,435874874,未知,非常积极,1.00 
姜澂JC,女,"很多弹幕说男主是为了女主而去弹奏他不喜欢的爵士，两人发生争执的时候还说这都是为了谁啊，你的意思是男主加入乐队全是为了女主吗？
我觉得男主加入乐队的这个选择是很复杂的。他爱女主，这毋庸置疑，他也的确听到女主和她妈妈的电话，一份稳定的工作，对吧？但是想一想，他一直坚持他热爱的爵士，在这条路上他就没有受过任何挫折吗？他会不会产生怀疑？尽管嘴巴信誓旦旦的说着他热爱的爵士，他会不会早已对自己产生怀疑只是一直在说服自己？说服自己或许应该放下一直固执坚持的逐渐消亡的爵士？
我理解的是，男主在无数的挫折中走来，爱上了女主，意识到为了维护这份爱情他或许需要一份稳定的工作，而不是虚无缥缈的他所热爱和坚持的爵士，他第一次去乐队的时候，他并不是很能忍受所谓的对爵士乐的创新（比如说爵士加电子），但是传奇哥去说服他的一段话或许让他坚定了加入乐队的选择，我是说或许。
后来男主一直参与乐队的工作，和女主的交流越来越少，女主去看乐队的表演，发现男主弹奏的并不是他当初向她讲述的他所热爱的爵士乐，而是像电影刚开始男主被迫演奏的那种口水歌（叫什么run好像），女主很震惊，可能会有失望，但是没有说破。后来两人重新聚到一起，女主一直想问的是你真的热爱你现在弹奏的爵士吗，而不是男主所认为的我成功了，所以你忍受不了我了，你爱的只是当初那个穷困潦倒的我（比如说男主认为目前的他是successful，但是女主关心的是你认为你现在的事业这么important吗）。还有一个细节，女主问男主你要在乐队耗多长时间，她并没有强烈反对男主留在乐队的这个选择，她或许认为男主正在搞钱去筹建属于自己的俱乐部，但是男主。。",930,456900292,未知,非常积极,1.00 
呆毛好耶怪,男,寒蝉凄切，对长亭晚，骤雨初歇。都门帐饮无绪，留恋处，兰舟催发。执手相看泪眼，竟无语凝噎。念去去，千里烟波，暮霭沉沉楚天阔。多情自古伤离别，更那堪，冷落清秋节！今宵酒醒何处？杨柳岸，晓风残月。此去经年，应是良辰好景虚设。便纵有千种风情，更与何人说？,221,8644143,未知,非常积极,1.00 
LAGOM丶,男,"我也说不准是在什么时间地点，
看见了你什么样的风姿，
听到了你什么样的谈吐，
 使我开始爱上了你。
那是在好久以前的事了。
等我发觉自己开始爱上你时，
我已走了一半路了。",663,44733726,未知,积极,0.79 
账号已注销,保密,"这部电影有多好呢？想象这样一个场景：二十年后的一个傍晚，你开着车或者车载着你在回家的路上，突然扬声器里开始放起这首电影里的旋律，听到第一个音符的一瞬间，所有的情绪全都涌上来，就好像二十年前的那个夜晚你第一次听到它们的时候那样。
转自豆瓣高赞评论",25747,11213574,未知,非常积极,1.00 
艺术落榜生西地高人,保密,"将Shanghai赋予诱骗的含义，并不是西方人对中国的污蔑和嘲笑，恰恰相反，这个词源于19世纪的美国人对自己国家一个犯罪现象的谴责和反思。
美国作家传教士William Taylor在他1856年的著作Seven Years Street Preaching in San Francisco中提到了Shanghai（当时称Shanghae）的最广为流传的起源：
A few years ago it was very difficult to make up a crew in this port From Shanghae in China there were seldom any ships returning to California To get back from Shanghae they must make the voyage round the world which was quite too far away Hence to get crews for Shanghae  they depended  on drugging the men Crews for Shanghae were therefore said to be Shanghaed and the term came into general use to represent this whole system of drugging extortion and cruelty
做动词的上海起源于19世纪的加利福尼亚海港。当时加州海港的船运公司船员紧缺，尤其是去往那些没有直航线路的港口时，更找不到足够多的船员。在这些港口里，离加州最远最繁忙的就是远在东方的上海了。但一艘船想要去往上海然后返航可不是件容易事，它必须环绕整个世界。如此舟车劳顿的航行，是任何一个水手都不愿加入的。因此，为了让船上有足够多的船员，加州港的黑心船商就会用拐骗的方式（比如在酒里下药）把港口的青壮年男子强行弄上船。久而久之，美国人把这种非法行为就叫做shanghai，它的含义后来也慢慢泛化，泛指一切的坑蒙拐骗的行为。资料来自扇贝",1216,6896802,未知,非常积极,1.00 
臭屁乌鸦,女,一人血书《音乐之声》《悲惨世界》《马戏之王》《剧院魅影》《雨中曲》《窈窕淑女》等等,15094,38009061,未知,非常积极,1.00 
杰特彗星,男,再次重温还是能让我泪流满面，在我心中是排名第一无可撼动的电影。2017年的奥斯卡闹出的乌龙也让我这个全程观看直播期待爱乐之城获奖的影迷恼怒不已，虽然石头姐拿到了威尼斯金球奖奥斯卡三料影后，但心中还是对爱乐之城无法登顶奥斯卡感到难以接受，或许月光男孩很优秀，但在没有黑人文化的其他国家，爱乐之城才应当是那一年的最佳电影，这应该会是包括我在内广大影迷这辈子都感到意难平的事情了。爱乐真的很像石头姐的一个个人经历，现实中她也是爱好表演所以在父母支持下放弃了学业跑到好莱坞打拼，磨练了五六年依然籍籍无名，因为《绯闻计划》（是我第一部看的石头姐的片子，也是巨好看）才一举成名，逐渐被好莱坞认可。而现实中石头姐和安德鲁加菲尔德的爱情也和爱乐之城中一样，两人因饰演超凡蜘蛛侠男女主而相恋，最后也因各自更伟大的演员梦想而分离，戏剧性的是，17年的奥斯卡石头姐凭借爱乐之城登顶了影后，而加菲尔德也凭借血战钢锯岭获得了影帝提名，两人在同一块场地，收获了各自的成功，但却再也无法回到过去了，整部爱乐之城仿佛就是石头姐人生的写照，人生如戏，一别两宽，各生欢喜,626,602799,未知,非常积极,1.00 
烈-永琳-幽香,男,"city of star
are you shining just for me",8423,40732649,未知,积极,0.67 
Steins4869,女,梦想与爱情，是否矛盾？,614,5871934,未知,非常积极,0.99 
麦克阿旋,男,2017年情人节在电影院上映，2019年七夕在哔哩哔哩上线，愿各位情侣们都像这部电影一样美好，这部电影在我们单身狗最脆弱的日子中给予了最大的温暖，感谢！微笑微笑微笑,21814,27130574,未知,非常积极,1.00 
念来过倒别,保密,"看电影前，我以为相爱的两人可以冲破一切阻挠，相互影响，相互搀扶，直到白头。
看完电影的我才知道，爱情是打不过现实的，更是追不上梦想的脚步。
所以，爱情不是不顾一切地去爱ta，去为ta放弃一切。而是互相理解的两人相互成全。
在为mia和seb没能有情人终成眷属感到惋惜也为他们成全了彼此的梦想而开心。
也祝愿在座的各位能有自己想要的爱情。
明天七夕快乐。然而雨我无瓜",642,4843815,未知,非常积极,1.00 
不丶一,保密,"这可能是给我最大震撼的爱情电影了，我记得当初我一个人看完终场，却一直坐在椅子上站不起来，脑海中一直回放这最后seb和mia的那段舞蹈，还有seb最后没有弹出的那个音符。
我一直以为爱情也是理想，人们为了爱情放弃，牺牲，奋不顾身，这让我觉得一无所有的自己始终没有什么资格去拥有。
lalaland让我明白，爱情不是你去做的交换，而是彼此眼中都有这同样的city of star，若是有过这样的彼此。
即便，即便最后只能在为你写的音乐中，与你共同舞完这一生的风景。或许也足够了。",5350,72563873,未知,非常积极,1.00 
7_Summers,男,想当初和前女友一起在情人节看的，现在却形同陌路,463,8505998,未知,中性,0.49 
奠阝,保密,一天，华纳迪士尼等大佬办公室电话同时响起：喂！我！B站！有钱！来片！dogedogedoge,8443,1332572,未知,消极,0.36 
罐装柠檬精,保密,"莫恨未能共白首
梦里曾度几回秋",543,39192120,未知,非常积极,0.99 
无语の冬瓜,男,收到消息第一时间再看一遍！,7973,576904,未知,消极,0.39 
独具风格的致远君,女,这是我终生难忘的最爱的也是因为私人原因最痛苦的一部电影,504,290050683,未知,非常积极,1.00 
朱雀先生,男,《爱乐之城》真的是给这些年影响力日渐式微的百老汇歌舞类电影提振了许多士气，可是即便如此奥斯卡还是把最佳影片奖颁给了政治正确的《月光男孩》。我到现在都怀疑在颁奖典礼上闹出的乌龙事件会不会是主办方故意搞的嘲讽。我也清楚如今被政治正确绑架下的奥斯卡早就已经变了味了，有许多人说今年获奖《绿皮书》本事是好电影，不是因为政治正确的关系。但是我还是认为它是好电影没错，可是它也必须得是一部政治正确的好电影才能获奖吧，要没了政治正确的要素它还能获奖吗我看就像诺兰看完《黑豹》后评价到这部电影应该去角逐奥斯卡奖。呵呵，《黑豹》还真的去评奖了，并且是第一部获得奥斯卡奖的漫威电影。也难怪有人说要是小李子还没有获得小金人的话，他应该去整容医院把自己的皮肤染黑吧。,490,10909367,未知,非常积极,1.00 
清源回流,女,第一遍仅仅觉得画面美音效棒，第二遍看的时候泪流满面。最后一段男主在一首钢琴曲里和女主走过一生我真的哭死。,463,278391618,未知,非常积极,1.00 
魔法英国佬亚眉眉,保密,前一段时间《城市之光》刚买回来，首页就推荐给我了，然后现在《爱乐之城》买回来首页也推荐给我了，b站你会买就多买点，首页你会推就多推点小电视赞,203,350066203,未知,积极,0.76 
