uname,sex,message,like,uid,location,emotion,sentiment_score
雷普洗头佬,保密,单身狗情人节打卡！,6,398454032,未知,非常消极,0.14 
腰伤腰痛青年,保密,电影画面精美绝伦，音乐更是最大亮点，可惜爱情的内核挖掘不够深刻，不过不失为好电影,8,41240748,未知,非常积极,1.00 
爵士时代跳舞公司,保密,感谢up主的分享，34秒开始了一段非常精彩的踢踏舞，我们也一直在创作与教授这个时期的相关舞蹈内容，希望越来越多的人能够关注传统爵士舞。干杯,9,1931813688,未知,非常积极,1.00 
奇异doctor,男,被一只突然闯入我卧室的老鼠闹得一晚没睡，本来想考验自己的沉着力的，无奈它每个动作发出的细微声音我都听得特别清楚，超过了外面空调的声响。啊，我累了，话都说得乱乱的。还好，我一个人住，现在换了个卧室微笑看看有人会看我无聊的话不灵魂出窍抠鼻,10,59112632,未知,非常消极,0.00 
吾康康,保密,为什么这么好的电影里这么多无脑的弹幕捂脸一跳舞就说印度片，宝莱坞。还有，歌舞片唱歌跳舞有什么好尴尬的？不会欣赏就别看呆,12,52784506,未知,积极,0.79 
u五无,保密,纯旅游打卡风景片，感情部分其实就是两个失意打工仔互相安慰但两人的确又比较简单，剧情能让两人都事业上有发展已经是很完美的结局了。,7,1060512890,广东,非常积极,1.00 
巴勒斯坦电子乐手,男,谈了5年因为各自事业异地而后分手，作死打开了这部电影，哭的死去活来,5,15338464,未知,非常积极,1.00 
Glowst_jsf,女,我真的扯纸哭到疯。生活让我们不能如愿以偿，但至少记忆会留下，那是我们平凡又辉煌的幸福。,5,647296768,未知,非常积极,1.00 
今天里特好好睡觉了吗,男,辣辣土地这部电影我很喜欢，说的是一个喜欢吃辣的女生邂逅了失意的喜欢吃辣的男主角，两个人每次吃了很好吃的辣都要跳舞解辣，后来男女分手以后，女主角每到伤心的夜晚都要把胡椒面抹到眼睛上嗷嗷哭，很感人的电影，一生推,5,22672786,未知,非常积极,1.00 
风晴羽Wings,女,这部片里很多的细节真的让人回味。没有那么多如果，曾经在一起，彼此陪伴彼此支持，各自坚持梦想，后来各奔东西看见对方过的也不错，有遗憾更多的是欣慰，我永远爱你，你做到了，我为你高兴。,5,53356256,未知,非常积极,1.00 
chopper西,保密,这是我和你共同去影院看过的电影。我记得那天我们为电影的男女主角深感惋惜，出来的路上讨论了很久。后来5年过去了，我为我们的以前深感惋惜。并不是我们分开了，只是我们之间的感情分开了，我想我们再也不会回到那个时候的状态，尽管我们的状态持续了3年，并且一直是很浓烈很炽热的。未来的很多年可能我们还会一起回忆起那段美好的时光，但是我不能一直把自己困于你的时间里了。好的关系需要维持，不好的关系就要自己努力爬出来了。我还是愿意继续爱你喜欢你尊敬你。哪怕你并不。,5,40775197,未知,非常积极,1.00 
紫空炎星,保密,刚看完燃野少年的天空   感觉心灵受到污染 过来净化净化,5,6011498,未知,非常积极,1.00 
Molly尧,女,看到开始两人发生矛盾那一段，想到了自己之前的一个感想：不要把由命运和现实的磨难带来的不满发泄到自己的伴侣身上，虽然这真的很容易。,5,406800649,未知,非常积极,1.00 
明川照野,保密,"学了那么多恋爱的技巧，懂了那么多所谓的人情世故，在一个傍晚推开酒馆的门，却听过路的旅人说，女孩已经登船走了。

你把该想的都想好，舞台上的山水云雾明月大江，身上穿的长袖冠帽金刀铁马，都准备得稳妥，帘子一开，就等一个人落泪。

我知道很多人像你，很努力地准备，开幕奏乐，结果位子空着，鼓声越来越急，回荡在不大不小的剧场里，铜锣一响，你发现，人没来。

其实感情有时候，就是挺无奈的。
                                                      年少荒唐",5,19228479,未知,非常积极,1.00 
账号已注销,保密,我咋觉得结局还挺温暖的笑哭男女主互相成就了彼此，任岁月流逝，但内心还温存的曾经的美好,5,18550235,未知,非常积极,1.00 
怎么称呼你啊取,保密,主要是男主太内敛了，其实他们分手后，还有那么多机会可以沟通，最后用了她的意见做了店名也是，可以沟通的，但是太内敛了，终归不是适合的人吧,5,330879826,未知,非常积极,0.97 
为了凑字数起的名字,保密,给我一首歌的时间和你度过一生，再让我用一眼与你告别,5,702168339,未知,非常积极,0.99 
雪人知道该干啥,保密,没想到能有个契机来欣赏这个片竟然是因为赛博朋克2077的bug,5,39077930,未知,非常积极,0.87 
无边幻境,保密,看完这部片就去看闪灵冷静下头脑OK,5,174099540,未知,非常积极,0.93 
_葛温德林,女,每年七夕情人节必看 让我心脏在跳动,5,8779937,未知,非常积极,0.90 
橙不狸,保密,今年七夕又来重温一遍了，希望所有情侣都能像剧中的男女主一样有一个好结局保佑,5,102358914,未知,非常积极,1.00 
快乐傻瓜小小屋,女,"导演太戳心了。。。。
最后还放一遍完美结局。。。大哭大哭",5,109050904,未知,非常积极,1.00 
冬夜静雪,男,以后一定带女朋友看一遍这个,5,21867690,未知,非常积极,0.91 
江绮奈绪美-,女,妈的好好一电影全是小学生刷青春疼痛文学观影体验极差,5,359143468,未知,非常积极,0.98 
阿D仔von,男,《爱乐之城》部分拍摄花絮：BV1fZ4y1s7jr,5,26387394,未知,积极,0.76 
丨xin-_-,保密,假如一切重来，我会在第一次见面吻你，推掉工作来看你的第一次表演，我会辞掉工作，跟随你到巴黎，巴黎也有好的爵士乐，我们会有美好家庭，在孩子丢给保姆的夜晚，开车带你进去吃饭，然后一起走进酒吧，听别人弹奏我做的曲子。,5,258432541,未知,非常积极,1.00 
朗读古诗词,女,最后的回眸相视一笑，突然发现很像《罗马假日》片尾 空旷华丽的宫殿里，公主和布莱德里怀着终生难忘的美好回忆用眼睛告别的场景大哭,5,481050880,广东,非常积极,1.00 
土豆长芽1,保密,三天内看了两遍，第一遍很伤心，但是第二遍就一点都不会了，因为男女主都实现了自己的梦想，虽然没有结婚但是成为挚友也是不错的,5,679295364,江西,非常积极,1.00 
别躺着了,保密,我当初喜欢的人嫁给了我的好兄弟  我是伴郎   现在他们很幸福   她也怀孕了  祝他们一直幸福  也祝我幸福,5,15391625,未知,非常积极,1.00 
-mingchen-,男,在山脚相遇却登上了不同的山顶,5,438490652,湖南,非常积极,1.00 
重生之我是啦啦,保密,委屈听到city of star都会掉眼泪的程度,5,623090022,广西,非常积极,0.86 
Akem1H0mura,保密,其实电影的最后的结局也许是最好的，双方都成就了对方，甜蜜的回忆永远的在他们两个人的心里，时间不会将其消磨，相遇依然心动。爱心,5,164625323,未知,非常积极,1.00 
就决定是你叻,保密,这次再看就是第八遍还是第九遍了拉拉蓝是我的白月光,5,28356725,未知,非常积极,0.98 
恋爱嘛我徐文祖,女,弹幕有些人是只认识艾玛沃特森一个女演员一直提不ky嘛,5,20731214,未知,非常积极,0.95 
深海之都,保密,看完了。。。胸口憋闷总觉得这个结局好遗憾。。。但是这可能是对剧中人物来说不错的结局，世界上又有几起灵魂伴侣白头偕老的故事呢，所以主人公起码都实现了梦想可能就是最好的结局之一了吧，虽然最后没能在一起但是那份爱至少曾经热烈过大哭,5,2079903988,江苏,非常积极,1.00 
満ちてゆく,保密,重映的时候去看了，一直觉得mia和seb之间其实并不算be保卫萝卜哭哭,5,400103974,广东,中性,0.52 
你真能搞,保密,我就是来躲避现实看个电影，结果看电影还要被现实精神毒打笑哭，两个理想主义者还是be了，哎呦难受得我,5,378589211,福建,积极,0.77 
赤い橙,保密,上上下下的笑哭,5,416451542,广东,积极,0.68 
-林鹄-,保密,回来了，都回来了,5,435497201,山东,中性,0.43 
海昼冷灯,女,我知道他们为了梦想而努力，也为了梦想而平静地离开，所以我并没有流很多眼泪，只是心中些许难过,5,487073335,江苏,非常积极,1.00 
もりこ森子,保密,和花束般的爱恋很像唉。但是结局比那更好初音未来大笑,5,319459538,四川,非常积极,1.00 
花田解马,男,2017年和她在电影院看的，当时她看哭了，我没哭，因为不懂。如今我们因为一些学业和个人追求的不同分开了，我懂了，但我再也不敢回来看第二遍,5,3122140,未知,非常积极,0.92 
我就是天才88,保密,电影结局虽然他们分开了，但都成为了更好的自己，可现实中大多数分开了也没有变得更好。这就是人生 ，电影只是电影故事而已！,5,491487560,上海,非常积极,1.00 
人民艺术嘎,男,b站，在你工作的时候很狼狈，但买版权时你是最美的dogedogedoge,5,201874793,未知,非常积极,0.82 
暖阳羊洋,保密,我把最美最好的时光都留给了你，无论结局如何。小电视赞,5,40477133,未知,非常积极,1.00 
阿聪er_,男,还记得当时在电影院看到结尾的那股子心塞。,5,5489556,未知,非常积极,0.91 
爵妹不是绝味,男,会买菜就多买点！,5,18707622,未知,中性,0.45 
搜古德曼,保密,弹幕打卡的跟随地大小便的差不多，没素质还暴露自己年龄和智商。,5,18014221,四川,消极,0.34 
明天见_wty,保密,我无法把爱乐里的高司令和芭比里联想到一起喜极而泣喜极而泣喜极而泣喜极而泣喜极而泣,5,390525166,河南,积极,0.68 
溜肩的团子精,女,救命！！！这结局我得看100遍芭比预告片才能缓得过来tv笑哭,5,7875458,江苏,非常积极,1.00 
诗语碧霄,男,爱情的艺术，艺术的爱情tv点赞,5,660085221,天津,非常积极,1.00 
草莓の酒心,女,我从未真正拥有过你，却在脑海中与你过完了一生,5,375651814,贵州,非常积极,1.00 
分付与疏狂,保密,一口气看完。忍不住落下泪来。爱情梦想，现实但不世俗。我们就生活在这样的世界啊。,5,365156495,福建,非常积极,1.00 
哪儿有瓜啊,保密,从高中到现在看了无数遍，第一次看懂怪我咯怪我咯怪我咯,5,316716758,河南,积极,0.73 
叫啥子勒,保密,假如一切重来，我会在第一次见面吻你，推掉工作来看你的第一次表演，我会辞掉工作，跟随你到巴黎，巴黎也有好的爵士乐，我们会有美好家庭，在孩子丢给保姆的夜晚，开车带你进去吃饭，然后一起走进酒吧，听别人弹奏我做的曲子。来着网易云热评,5,470420584,未知,非常积极,1.00 
YoPumpkin,女,离开了爱情生活还能继续，没有了梦想什么都没有了。男女主只是互相陪伴着走过了一段旅途，而人生的旅途太过漫长了。,5,25680866,未知,非常积极,1.00 
Soooooos_,女,各自实现梦想之时，发现梦想好像变得没那么重要了。假如可以重来，我会在第一次见面时吻你，推掉工作去看你的第一次表演，和你一起去巴黎，巴黎也有好的爵士乐，开车带你去吃饭，然后一起走进酒吧，听别人在台上弹着我曾经做梦都想弹的曲子，再转过头亲吻近在咫尺的你,5,356054466,未知,非常积极,1.00 
小狗在窗边胡说八道,保密,第一次看完电影留下评论。他们遇到的时间刚刚好，两个人都在追梦的阶段，两个人几乎一拍即合。他们遇到的时间又不好，两个人都在追梦的阶段，都需要为事业奔波，都是无法给予对方感情需要的陪伴的阶段。也很惊讶于最后两人的相遇，Mia在脑海里过完了与seb的一生，然后走前回眸对seb微微一笑，seb也回以轻微点头，两人就此别过。人生就是无数的遗憾组合而成的。,5,59699784,未知,非常积极,1.00 
镜子的Menu,女,为什么这是520的推荐片子，本单身狗不仅没得到安慰，还哭得一把鼻涕一把泪,5,9259356,未知,中性,0.58 
索尔_Saul,保密,弹幕被清了吗怎么这么少啊,5,7857378,未知,积极,0.68 
矮崖Maya,女,电影里的每一个色彩都透着浪漫的气息,5,214713719,未知,非常积极,0.99 
软硬兼攻的翔君,保密,这电影色彩是真的强,5,243927438,未知,非常积极,0.92 
不甜de甜甜轩儿,女,哭了哭了,5,351817390,未知,非常积极,0.84 
咪咪痳咪轰,女,能重映的话一定会补上电影票,5,138925680,未知,中性,0.53 
24K麻鸡,男,17年到现在每年情人节必刷一次（草）OK,5,19185406,未知,中性,0.41 
逐渐痴呆_,保密,是谁情人节来找虐？欧是我大哭lalaland我永远的意难平,5,13793449,未知,非常积极,0.82 
呼啦呼啦咻ヽ,保密,五年前分手后一个人在电影院看了这部电影，这么快就五年了啊,5,11700699,未知,非常积极,0.99 
普通是彩虹的诅咒,保密,虽无前缘可续，但我已经在脑海里同你过完了余生。DL，我会永远爱你。,8,5276762,未知,非常积极,1.00 
楚小月家的双马尾,女,我的天谁懂啊就刚好卡在这个位置。。。无语,2,65177958,河北,消极,0.28 
是个卡卡卡子娃儿,女,止不住的眼泪辣眼睛,2,383148465,四川,积极,0.78 
ThoMasTT_,男,挚爱,2,365045286,上海,非常积极,0.88 
花锦满楼,男,第三遍了，每遍都有不一样的感受,2,457002720,安徽,积极,0.65 
词穷不会起名丶,男,关掉弹幕看 惊艳于他的叙事手法 女主进了一家餐厅见到男主 结果镜头一转把男主的事情又给叙述了一遍 最后两个人的故事交汇于同一时间线 打开弹幕一看 还是满屏的 哇这个光打的真好看 无语至极 当别人没长眼睛吗 这个电影的弹幕真是 令人十分不满,6,329506686,山东,非常积极,1.00 
苏祁_Suchi,保密,出去上个厕所回来就说上线了！！！,6,226148834,未知,非常消极,0.06 
你是莉莉安呀,保密,一辈子太长了，有些人就适合留在回忆里，想着过一辈子。,4,258163295,未知,非常积极,0.99 
哈啊justwe呦,保密,一部拍在西海岸的故事，风格却十分纽约，十分百老汇,4,4503041,未知,非常积极,0.96 
漱石扬激,保密,第一次看这电影的时候，我正在学水粉，于是每次看这部电影我就会想起那些充满色彩的日子,4,434108655,未知,非常积极,1.00 
乌托猫,男,已经足够了，他们在最后能够释然，能够为对方梦想已成的未来鼓掌，就已经证明他们的相遇是幸运的，即使未来身旁的不是那个人，但过去那段艰难美好的时光是真切的，他们不会后悔那段相遇，但也不拘泥于回忆中，各自向上，顶峰相遇。正是因为结局的不完美，所以才令人难忘啊,4,36409811,未知,非常积极,1.00 
奶盾五五开,男,相遇相识相爱却没有在一起，衷心祝你幸福，z女士,4,424461559,未知,非常积极,1.00 
肉松在摸鱼,男,一切没有必要重来，现实这就是最美好的结局，男女主都过上了想要的生活，尽管生活里没有了彼此，但依旧不会后悔，这就是已经是最好的结局了。,4,503142924,未知,非常积极,1.00 
是耶非耶丷,女,我来了，听说喜欢这部电影的人有了美美的爱情害羞,4,60098953,未知,非常积极,1.00 
在逃的逃避型选手,保密,幻想结束的时候，男女主坐在酒吧里面时是吻在一起的，而现实女主和她老公坐在酒吧里面的时候座位之间的灯就像一条分割线，是把他们隔离开来的,4,13295308,未知,非常积极,1.00 
不见春雪,保密,版本答案爱乐之城,4,688257131,未知,非常积极,0.88 
冰淇凌Y,保密,其实这个结尾挺好，女主不逼一把男主他也不会有现在的成就，没有男主女主也不会实现自己的梦想，而离开对方就是奔赴梦想的最后一步,4,243903975,未知,非常积极,1.00 
嘿约翰,保密,男主刚开始解释爵士是几个乐器的配合，而且每次演出都有变化，就像片尾的假想曲，就像别于他们过往生活的一曲爵士,4,2021832,未知,非常积极,0.98 
双人里昂,男,因为这部电影分手的或复合的来报个道吗笑哭？说出你的故事,4,25256339,未知,非常积极,0.98 
D北斗,保密,以前读过的一本书里有这么一段话，印象极深。衣不胜新，人不如故。奈何故人穿新衣，嫁做他人妇。昨夜梦一场，故人梦中来。本想找一部爱情电影戏谑自己一番，你懂的。本来以为自己的破防点自己都知道，刀从哪来都接的住，只是没想到，这家伙是用枪的藏狐,4,21052980,未知,非常积极,1.00 
Ena啊,保密,"我是不是太现实了
这部剧的浪漫点没有get到",4,22271660,未知,非常积极,0.98 
多-巴安,男,看了90婚介所俺也来瞧瞧lala恋OK,4,491069116,未知,非常积极,0.99 
竇暮良,保密,前面一直没哭出来，最后女主转身，男主微笑的时候泪腺绷不住了。愿我们都能在对的时间遇到对的人，愿我永远爱你。,4,7996586,未知,非常积极,0.99 
番石榴拌辣椒油,保密,最经典的爱情，不是我为了和你在一起而不顾一切，而是给你鼓励和陪伴，尽我所能去帮你实现梦想，让你变得更好。哪怕到最后我不是你身边的那个人，但这段时光回忆起来便已足够幸福。最幸运的是遇见了你，没有遗憾。,4,169117791,未知,非常积极,1.00 
无语到微笑,保密,想知道有没有影迷写同人文，在另一个世界他和她在一起并生活到老，我还想看孩子出生的故事tv腼腆tv腼腆,4,317136853,未知,非常积极,1.00 
夜雀の烧烤摊,保密,你怎么知道水母没有梦想呢,4,9964787,未知,积极,0.80 
巷上陌桑,男,这是我喜欢的人喜欢的电影,4,4031114,未知,非常积极,0.96 
Icarus1764,男,文明发言，理性讨论，一同欣赏艺术嘉然笔芯,4,8366995,未知,非常积极,1.00 
SHaDow影影,保密,"为了今天生日的她，我也要看一遍捏
City of stars",4,15164844,未知,积极,0.79 
就喜欢洁白,男,总有人看个电影一身戾气，一看主页，原来平常也这么暴躁啊再见,4,187334227,未知,非常积极,0.99 
这是一个吞吹,女,女主在库伊拉里面可太好看了,4,19096953,未知,非常积极,0.86 
白袜奶狗,保密,这部电影石头姐拿下了英奥影后威尼斯影后金球音乐喜剧类影后演员工会影后奥斯卡影后。本来就是实至名归。她水不水不是你说了算。,4,68139406,未知,非常积极,1.00 
iceNile_,女,讨论对错的真的给我看笑了，活得比谁都明白了？生活真的有那么简单，有那么明了的对错的话，也不会有失败的人。,4,19555138,未知,非常积极,1.00 
养一捧月亮,保密,这部电影后劲太大了,4,37633130,未知,积极,0.75 
马樂顶大,女,弹幕素质差得很。,4,1145996207,未知,消极,0.26 
亲一口小兔,保密,这部电影，真的绝了，场景配乐男女主身上的衣服，拍摄的手法，虽然我不懂怎么夸奖，就连我这种外行人也不得不感叹每一处的细节，每次场景的对比，女主前面每次试镜和最后试镜面试官的态度，在两人追梦的过程中，都一直想维护对方的梦想，当男主妥协时，只有女主一直在心疼他做的不是他喜欢的事情，问他为什么不建俱乐部，这部电影看的人真的是哭死了，每个人爱情的开始或许都是这么浪漫，到最后两个人的释然，有很多弹幕说女主孩子都有了还说永远爱你？我理解的是他们两个到现在都依然爱对方，但是也明确知道两个人没办法在一起了，不然女主最后一次试镜的时候他们两个就已经和好了，只不过两个人都把对方放在了心底，用各自完成的梦想告诉对方，我还爱你（我自己是这么理解的，可以说不同观点，但别死杠我的想法）,4,161143320,未知,非常积极,1.00 
天驱-,保密,爱乐之城是我最喜欢的一部电影。因为这是为数不多的跟她一起看的电影。因为各种现实原因，没办法跟她在一起也是我到目前为止的人生中最遗憾的一件事。后来我独自驱车前往洛杉矶，去格里菲斯天文台，去比弗利山庄，只为纪念我们的爱情，和致敬这部电影。Happy 小姐，我会永远爱你，可你大概看不到了吧。,4,1830456,未知,非常积极,1.00 
等待西西弗斯,男,若我再遇见你，事隔经年，我该以何贺你，以眼泪？以沉默？,4,34739127,未知,非常积极,0.99 
Dawn_121,女,这部电影，后劲真的好大大哭,4,440470144,未知,非常积极,0.97 
账号已注销,保密,我好希望这部电影能够重映,4,10100958,未知,非常积极,0.93 
小狛治,保密,"总会有那么一个人和你在某样东西上心有灵犀，默契到这件东西出现在脑海里的一瞬间就会立刻不约而同地联想到对方。

我们曾经并肩前行，即使分道扬镳，后来彼此也都成为了更好的人。我喜欢这个结局。",4,11258479,未知,非常积极,1.00 
M1tsuha_,男,分手了来看这个唉。,4,275223262,未知,中性,0.43 
摸鱼专业PhD,男,虽然可能很多人不同意，但是梦想和事业大概是大过爱情的。可是我又有什么资格说这个呢？作为一个母胎单身的读博狗，梦想和爱情都没有。所以有0吗,4,9126986,未知,非常积极,0.99 
银河系搭乘指南,保密,这大概是到目前为止我最喜欢的爱情电影了。我觉得这部电影最可取的是，描述的是两个精神独立个体的爱情，没有谁要去迎合谁，不以奉献和妥协为中心，不会为了融为一体而失去自己，爱情理所应当是陪伴和理解。,4,342187824,未知,非常积极,1.00 
颖雀-LUA,男,在中国上映那天我就去看了，我以前从来没有接触过歌舞电影，当时和家人一起去看的，他们都一头雾水，但是我却说这可能是我最喜欢的电影，现在2020了，这依然是我最喜欢的电影。,4,33175597,未知,非常积极,1.00 
玻璃缸里的猫,保密,没在一起挺好的，如果男主真的跟着女主一起去了巴黎那才是真的为了女主放弃了他自己的梦想，也就不会有后面的sebs。对女主来说可能是完美结局，然而对于男主并不是，所以没在一起也挺好，至少各自都实现了自己的梦想。,4,21554429,未知,非常积极,1.00 
苦無mmp,男,be可以解释成best ending吗,4,500755513,广东,非常消极,0.17 
不知陕北像羊,保密,"这部电影几年前看认为是讲的追逐梦想，现在有过一些经历之后，发现，其实也歌颂了爱情的美好。两个人从互相吸引，到互相成就，女主欣赏男主对爵士乐的热爱，男主也鼓励女主并且送她去面试。可惜最后两个人没有能够走到一起，尽管有遗憾，但是也非常感激对方出现在自己的生命之中，就像星星，曾经闪烁在漆黑的迷茫的人生星空里，曾经熠熠生辉。
可能这就是爱情的浪漫吧，不求永远，出现过就足够美好。",4,20649663,四川,非常积极,1.00 
栗子快到碗里来,女,刷男主绿的是有什么疾病吗？,4,9426125,未知,中性,0.56 
降谷零的狗,保密,又看一遍依然哭成狗。。。,4,669101843,贵州,非常积极,0.89 
水禾旦旦,保密,世界上哪有那么多如果啊 但在每一种如果中我都希望你能拥有精彩的人生 并且我将永远爱你 无论以什么方式,4,68282850,上海,非常积极,1.00 
俗世不归客,男,我以为在b站看音乐剧会好一点，没想到这里也有说一直唱歌尬死和像印度电影的，我真是对这些人无语了，真就不知道什么是音乐剧了呗热词系列锤热词系列锤热词系列锤,4,26003019,未知,非常积极,0.98 
高枝中的高枝,男,"看看开头为了这个电影开了大会员
值！！！！！",4,118764848,未知,消极,0.31 
朗姆酱酱酱,男,找了这么久发现小破站会员就能看，某搜索引擎不太行啊！,4,4484002,未知,消极,0.31 
南河常在,保密,最后男女主回头相视一笑说到祝各自幸福但我会永远爱你,4,565773214,福建,非常积极,0.99 
KanyeWestF0rFake,保密,此情可待成追忆，只是当时已惘然,4,60643537,上海,积极,0.66 
Zhangzi_77,男,盲猜洛杉矶奥运会开幕式会致敬,4,74532999,山东,非常积极,1.00 
宫泽雪野nx,保密,"哭了四五回，眼泪根本止不住
莫道此生未白首，梦里曾度几回秋。",4,401313139,安徽,非常积极,0.99 
老道消息,男,相濡以沫，不如相忘于江湖,4,5557312,未知,非常积极,0.90 
球芝布德,保密,可惜人生没有if线,4,3.55E+15,安徽,非常积极,0.89 
Heinrrrich,女,仔细想想，这片子可以是悲剧，也可以是喜剧对吧。悲剧在于有情人不能终成眷属，喜剧在于他们都实现了自己的梦想，有一家属于自己的爵士俱乐部，成为了演员。这就是真正啊爱情吧，互相扶持，追求了各自的理想。总之，歌剧魅影和爱乐之城都让我难过，又感到欣喜。,4,98717660,未知,非常积极,1.00 
马猴烧酒伊栗雅,女,终是庄周梦了蝶，你是恩赐也是劫小电视哭泣,4,10288430,未知,非常积极,1.00 
Q的存在域,保密,我在一首曲子中，和你过完了一生,4,432118110,未知,非常积极,0.99 
荀x子,男,我真是瑞恩高司令灵魂出窍,4,4715012,湖北,非常积极,0.98 
账号已注销,保密,Happy New Year,4,10100958,未知,中性,0.45 
Ms_Asuka,男,bro：在这部电影里i sing，i dance，i drive藏狐,4,6887553,山东,非常积极,0.96 
闲饮奶茶忙挂机,女,在最后女主上前搭话男主一下抱住拥吻的时候我的眼泪刷就下来了，人生若只如初见该有多好,4,14758485,未知,非常积极,1.00 
Nian不念,女,此情可待成追忆，只是当时已惘然,4,41726289,广东,积极,0.66 
゚゚゚゚宫水三叶,男,前段时间b站是不是下了这部电影,4,34280381,河北,非常积极,0.94 
王光光光光,男,终于又能看了2024,4,256944843,山西,积极,0.62 
喜欢骂人的大饼子,保密,回来啦，我在电影院也看你咯,4,475344371,内蒙古,消极,0.36 
槛上畸人,保密,说一件很抓马的事，看这部电影之前我就听说这是关于梦想和爱情的故事，然后看了之后发现剧情走向和我想象中大差不差，结尾也和我想象的一样，甚至分镜都能对上看完这部电影我就凌乱了，没想到导演真这么拍啊保卫萝卜哭哭朋友说我和导演共用了同一个脑子,4,123554614,吉林,非常积极,1.00 
tiredofthis,保密,回来了！重映看了两遍给心心,4,34773947,广东,积极,0.76 
寒冷和水的比例刚刚好,保密,前两天搜没有这部，今天推首页为什么评论是20年的啊,4,81832814,重庆,非常消极,0.15 
坐星辰,保密,回来了！都回来了！,4,38094915,广东,中性,0.43 
世界级拖延艺术家,女,去看了两遍重映，没有遗憾了，再来看一遍星星眼,4,350836421,湖北,非常积极,0.83 
猹不会去镖局做法,女,重映没看成，我心碎了,4,388162828,山东,积极,0.80 
缪希熙小盆栽,女,又回来了呜呜呜呜太好了，去电影院补票了，特别爱看的，高司令还是那么迷人小电视哭泣小电视哭泣小电视哭泣小电视哭泣,4,110866725,福建,非常积极,1.00 
零售店,男,好吧，又回来了，前阵子重映找不到有排片的影院，可惜了,4,298033493,江西,消极,0.38 
黄瑟的兔宝,保密,从爱情公寓预告片那边过来洗洗眼,4,18130004,未知,非常消极,0.15 
手拿锤子和镰刀的猫神,保密,17年情人节那天我和喜欢的人去看，我没点破这层关系，或许只是我的一厢情愿，祝你幸福。,4,11342759,未知,非常消极,0.16 
林中之木BLUE,女,人生若只如初见，何事秋风悲画扇！,4,1233272237,陕西,非常积极,0.96 
